,S_tau
path_0,-12
path_1,-12
path_2,-12
path_3,12
path_4,-12
path_5,-12
path_6,-12
path_7,-12
path_8,-12
path_9,-12
path_10,-12
path_11,12
path_12,12
path_13,12
path_14,12
path_15,12
path_16,12
path_17,-12
path_18,-12
path_19,12
path_20,12
path_21,12
path_22,-12
path_23,12
path_24,12
path_25,12
path_26,-12
path_27,-12
path_28,12
path_29,12
path_30,12
path_31,12
path_32,12
path_33,-12
path_34,12
path_35,-12
path_36,12
path_37,12
path_38,-12
path_39,-12
path_40,-12
path_41,12
path_42,-12
path_43,12
path_44,-12
path_45,-12
path_46,-12
path_47,12
path_48,12
path_49,-12
path_50,12
path_51,-12
path_52,12
path_53,12
path_54,-12
path_55,12
path_56,12
path_57,12
path_58,12
path_59,-12
path_60,12
path_61,-12
path_62,-12
path_63,-12
path_64,12
path_65,-12
path_66,12
path_67,-12
path_68,-12
path_69,-12
path_70,12
path_71,-12
path_72,12
path_73,-12
path_74,12
path_75,12
path_76,-12
path_77,-12
path_78,12
path_79,12
path_80,-12
path_81,-12
path_82,12
path_83,-12
path_84,12
path_85,4
path_86,-12
path_87,-12
path_88,-12
path_89,12
path_90,12
path_91,12
path_92,12
path_93,-12
path_94,-12
path_95,12
path_96,-12
path_97,-12
path_98,12
path_99,12
path_100,12
path_101,-12
path_102,-12
path_103,-12
path_104,-12
path_105,12
path_106,12
path_107,12
path_108,-12
path_109,12
path_110,-12
path_111,-12
path_112,-12
path_113,12
path_114,-12
path_115,-12
path_116,12
path_117,12
path_118,12
path_119,-12
path_120,-12
path_121,12
path_122,12
path_123,-12
path_124,-12
path_125,-12
path_126,12
path_127,-12
path_128,12
path_129,12
path_130,2
path_131,12
path_132,-12
path_133,-12
path_134,12
path_135,12
path_136,-12
path_137,-12
path_138,-12
path_139,12
path_140,12
path_141,12
path_142,-12
path_143,12
path_144,-12
path_145,-12
path_146,-12
path_147,12
path_148,-12
path_149,12
path_150,-12
path_151,-12
path_152,-12
path_153,-12
path_154,-12
path_155,12
path_156,-12
path_157,-12
path_158,12
path_159,12
path_160,-12
path_161,-12
path_162,-12
path_163,-12
path_164,-12
path_165,12
path_166,-12
path_167,12
path_168,-12
path_169,12
path_170,-12
path_171,12
path_172,12
path_173,12
path_174,12
path_175,12
path_176,-12
path_177,-12
path_178,12
path_179,-12
path_180,12
path_181,12
path_182,12
path_183,12
path_184,12
path_185,-12
path_186,12
path_187,-12
path_188,-12
path_189,12
path_190,-12
path_191,-12
path_192,4
path_193,-12
path_194,12
path_195,-12
path_196,12
path_197,12
path_198,12
path_199,12
path_200,12
path_201,12
path_202,-12
path_203,-12
path_204,-12
path_205,12
path_206,-12
path_207,12
path_208,10
path_209,12
path_210,-12
path_211,-12
path_212,-12
path_213,-12
path_214,12
path_215,-12
path_216,12
path_217,12
path_218,-12
path_219,-12
path_220,12
path_221,-12
path_222,12
path_223,-12
path_224,12
path_225,-12
path_226,4
path_227,12
path_228,-12
path_229,-12
path_230,-12
path_231,12
path_232,-12
path_233,-12
path_234,-12
path_235,12
path_236,12
path_237,-12
path_238,-12
path_239,12
path_240,12
path_241,-12
path_242,-12
path_243,12
path_244,-12
path_245,12
path_246,12
path_247,-12
path_248,-12
path_249,-12
path_250,12
path_251,12
path_252,12
path_253,-12
path_254,-12
path_255,-12
path_256,12
path_257,-12
path_258,12
path_259,-12
path_260,-12
path_261,12
path_262,12
path_263,-12
path_264,-12
path_265,12
path_266,12
path_267,12
path_268,-12
path_269,12
path_270,12
path_271,-12
path_272,-12
path_273,12
path_274,-12
path_275,-12
path_276,-12
path_277,-12
path_278,12
path_279,-12
path_280,12
path_281,12
path_282,-12
path_283,-12
path_284,12
path_285,12
path_286,-12
path_287,-12
path_288,12
path_289,12
path_290,12
path_291,12
path_292,-12
path_293,-12
path_294,12
path_295,12
path_296,-12
path_297,-12
path_298,12
path_299,12
path_300,-12
path_301,-12
path_302,-12
path_303,12
path_304,12
path_305,-12
path_306,12
path_307,-12
path_308,12
path_309,12
path_310,-12
path_311,12
path_312,-12
path_313,-12
path_314,-12
path_315,12
path_316,-12
path_317,12
path_318,-12
path_319,-12
path_320,12
path_321,-12
path_322,-12
path_323,12
path_324,-12
path_325,-12
path_326,12
path_327,12
path_328,-12
path_329,-12
path_330,12
path_331,-12
path_332,12
path_333,-12
path_334,12
path_335,12
path_336,-12
path_337,-12
path_338,-12
path_339,-12
path_340,-12
path_341,12
path_342,-12
path_343,12
path_344,12
path_345,-12
path_346,-12
path_347,-12
path_348,12
path_349,-12
path_350,12
path_351,-12
path_352,-12
path_353,12
path_354,-12
path_355,12
path_356,-12
path_357,12
path_358,12
path_359,-12
path_360,12
path_361,-12
path_362,12
path_363,12
path_364,12
path_365,12
path_366,12
path_367,-12
path_368,12
path_369,-12
path_370,-12
path_371,-12
path_372,-12
path_373,-12
path_374,12
path_375,12
path_376,12
path_377,12
path_378,12
path_379,12
path_380,-12
path_381,12
path_382,12
path_383,12
path_384,12
path_385,-12
path_386,12
path_387,-12
path_388,12
path_389,12
path_390,-12
path_391,12
path_392,-12
path_393,-12
path_394,-12
path_395,-12
path_396,-12
path_397,-12
path_398,12
path_399,12
path_400,12
path_401,12
path_402,12
path_403,12
path_404,12
path_405,-12
path_406,-12
path_407,12
path_408,12
path_409,12
path_410,12
path_411,-12
path_412,-12
path_413,-12
path_414,-12
path_415,-12
path_416,12
path_417,-12
path_418,12
path_419,12
path_420,12
path_421,12
path_422,12
path_423,12
path_424,12
path_425,12
path_426,-12
path_427,12
path_428,12
path_429,12
path_430,-12
path_431,-12
path_432,-12
path_433,12
path_434,4
path_435,-12
path_436,12
path_437,-12
path_438,12
path_439,-12
path_440,-12
path_441,-12
path_442,-12
path_443,12
path_444,-10
path_445,-12
path_446,-12
path_447,12
path_448,-12
path_449,-12
path_450,12
path_451,-12
path_452,12
path_453,-12
path_454,12
path_455,-12
path_456,12
path_457,12
path_458,-12
path_459,-12
path_460,-12
path_461,-12
path_462,-12
path_463,12
path_464,-12
path_465,12
path_466,-12
path_467,12
path_468,-12
path_469,-12
path_470,-12
path_471,-12
path_472,12
path_473,12
path_474,12
path_475,12
path_476,12
path_477,12
path_478,12
path_479,12
path_480,-12
path_481,12
path_482,12
path_483,-12
path_484,-12
path_485,-12
path_486,-12
path_487,-12
path_488,12
path_489,-12
path_490,-12
path_491,12
path_492,-12
path_493,12
path_494,-12
path_495,-12
path_496,12
path_497,12
path_498,12
path_499,12
path_500,12
path_501,-12
path_502,-12
path_503,12
path_504,-12
path_505,12
path_506,12
path_507,12
path_508,-12
path_509,-12
path_510,-12
path_511,12
path_512,-12
path_513,12
path_514,-12
path_515,12
path_516,12
path_517,-12
path_518,-12
path_519,-12
path_520,-12
path_521,-12
path_522,-12
path_523,-12
path_524,-12
path_525,-12
path_526,-12
path_527,-12
path_528,12
path_529,-12
path_530,-12
path_531,12
path_532,12
path_533,12
path_534,-12
path_535,-12
path_536,-12
path_537,12
path_538,-12
path_539,-12
path_540,12
path_541,-12
path_542,-12
path_543,12
path_544,-12
path_545,12
path_546,-12
path_547,12
path_548,-12
path_549,-12
path_550,12
path_551,12
path_552,-12
path_553,-12
path_554,-12
path_555,-12
path_556,-12
path_557,12
path_558,-12
path_559,12
path_560,-12
path_561,-12
path_562,-12
path_563,-12
path_564,12
path_565,-12
path_566,12
path_567,-12
path_568,12
path_569,12
path_570,12
path_571,-12
path_572,-12
path_573,12
path_574,-12
path_575,12
path_576,-12
path_577,-12
path_578,-12
path_579,12
path_580,-12
path_581,-12
path_582,-12
path_583,-12
path_584,12
path_585,12
path_586,-12
path_587,-12
path_588,12
path_589,12
path_590,12
path_591,12
path_592,-12
path_593,-12
path_594,12
path_595,12
path_596,12
path_597,12
path_598,12
path_599,-12
path_600,12
path_601,-12
path_602,-12
path_603,12
path_604,-12
path_605,12
path_606,12
path_607,-12
path_608,12
path_609,12
path_610,12
path_611,12
path_612,-12
path_613,12
path_614,-12
path_615,12
path_616,12
path_617,-12
path_618,-12
path_619,-12
path_620,12
path_621,12
path_622,12
path_623,12
path_624,12
path_625,12
path_626,12
path_627,12
path_628,-12
path_629,12
path_630,-12
path_631,-6
path_632,-12
